,continent,surface_area,population,gnp,local_name
0,North America,193.0,103000,828.0,Aruba
1,Asia,652090.0,22720000,5976.0,Afganistan/Afqanestan
2,Africa,1246700.0,12878000,6648.0,Angola
3,North America,96.0,8000,63.2,Anguilla
4,Europe,28748.0,3401200,3205.0,Shqiperia
5,Europe,468.0,78000,1630.0,Andorra
6,North America,800.0,217000,1941.0,Nederlandse Antillen
7,Asia,83600.0,2441000,37966.0,Al-Imarat al- Arabiya al-Muttahida
8,South America,2780400.0,37032000,340238.0,Argentina
9,Asia,29800.0,3520000,1813.0,Hajastan
10,Oceania,199.0,68000,334.0,Amerika Samoa
11,Antarctica,13120000.0,0,0.0,
12,Antarctica,7780.0,0,0.0,Terres australes francaises
13,North America,442.0,68000,612.0,Antigua and Barbuda
14,Oceania,7741220.0,18886000,351182.0,Australia
15,Europe,83859.0,8091800,211860.0,osterreich
16,Asia,86600.0,7734000,4127.0,Azarbaycan
17,Africa,27834.0,6695000,903.0,Burundi/uburundi
18,Europe,30518.0,10239000,249704.0,Belgie/Belgique
19,Africa,112622.0,6097000,2357.0,Benin
20,Africa,274000.0,11937000,2425.0,Burkina Faso
21,Asia,143998.0,129155000,32852.0,Bangladesh
22,Europe,110994.0,8190900,12178.0,Balgarija
23,Asia,694.0,617000,6366.0,Al-Bahrayn
24,North America,13878.0,307000,3527.0,The Bahamas
25,Europe,51197.0,3972000,2841.0,Bosna i Hercegovina
26,Europe,207600.0,10236000,13714.0,Belarus
27,North America,22696.0,241000,630.0,Belize
28,North America,53.0,65000,2328.0,Bermuda
29,South America,1098581.0,8329000,8571.0,Bolivia
30,South America,8547403.0,170115000,776739.0,Brasil
31,North America,430.0,270000,2223.0,Barbados
32,Asia,5765.0,328000,11705.0,Brunei Darussalam
33,Asia,47000.0,2124000,372.0,Druk-Yul
34,Antarctica,59.0,0,0.0,Bouvetoya
35,Africa,581730.0,1622000,4834.0,Botswana
36,Africa,622984.0,3615000,1054.0,Centrafrique/Be-Afrika
37,North America,9970610.0,31147000,598862.0,Canada
38,Oceania,14.0,600,0.0,Cocos (Keeling) Islands
39,Europe,41284.0,7160400,264478.0,Schweiz/Suisse/Svizzera/Svizra
