,independence_year,population,life_expectancy,gnp,gnp_old
0,,103000,78.4,828.0,793.0
1,1919.0,22720000,45.9,5976.0,
2,1975.0,12878000,38.3,6648.0,7984.0
3,,8000,76.1,63.2,
4,1912.0,3401200,71.6,3205.0,2500.0
5,1278.0,78000,83.5,1630.0,
6,,217000,74.7,1941.0,
7,1971.0,2441000,74.1,37966.0,36846.0
8,1816.0,37032000,75.1,340238.0,323310.0
9,1991.0,3520000,66.4,1813.0,1627.0
10,,68000,75.1,334.0,
11,,0,,0.0,
12,,0,,0.0,
13,1981.0,68000,70.5,612.0,584.0
14,1901.0,18886000,79.8,351182.0,392911.0
15,1918.0,8091800,77.7,211860.0,206025.0
16,1991.0,7734000,62.9,4127.0,4100.0
17,1962.0,6695000,46.2,903.0,982.0
18,1830.0,10239000,77.8,249704.0,243948.0
19,1960.0,6097000,50.2,2357.0,2141.0
20,1960.0,11937000,46.7,2425.0,2201.0
21,1971.0,129155000,60.2,32852.0,31966.0
22,1908.0,8190900,70.9,12178.0,10169.0
23,1971.0,617000,73.0,6366.0,6097.0
24,1973.0,307000,71.1,3527.0,3347.0
25,1992.0,3972000,71.5,2841.0,
26,1991.0,10236000,68.0,13714.0,
27,1981.0,241000,70.9,630.0,616.0
28,,65000,76.9,2328.0,2190.0
29,1825.0,8329000,63.7,8571.0,7967.0
30,1822.0,170115000,62.9,776739.0,804108.0
31,1966.0,270000,73.0,2223.0,2186.0
32,1984.0,328000,73.6,11705.0,12460.0
33,1910.0,2124000,52.4,372.0,383.0
34,,0,,0.0,
35,1966.0,1622000,39.3,4834.0,4935.0
36,1960.0,3615000,44.0,1054.0,993.0
37,1867.0,31147000,79.4,598862.0,625626.0
38,,600,,0.0,
39,1499.0,7160400,79.6,264478.0,256092.0
40,1810.0,15211000,75.7,72949.0,75780.0
41,-1523.0,1277558000,71.4,982268.0,917719.0
42,1960.0,14786000,45.2,11345.0,10285.0
43,1960.0,15085000,54.8,9174.0,8596.0
44,1960.0,51654000,48.8,6964.0,2474.0
45,1960.0,2943000,47.4,2108.0,2287.0
46,,20000,71.1,100.0,
47,1810.0,42321000,70.3,102896.0,105116.0
48,1975.0,578000,60.0,4401.0,4361.0
49,1975.0,428000,68.9,435.0,420.0
50,1821.0,4023000,75.8,10226.0,9757.0
